pais,code,iso3,poblacion,anio
Arab World,ARB,ARB,419790588,2018
Caribbean small states,CSS,CSS,7358965,2018
Central Europe and the Baltics,CEB,CEB,102511922,2018
Early-demographic dividend,EAR,EAR,3249140605,2018
East Asia & Pacific,EAS,EAS,2328220870,2018
East Asia & Pacific (excluding high income),EAP,EAP,2081651801,2018
East Asia & Pacific (IDA & IBRD countries),TEA,TEA,2056064424,2018
Euro area,EMU,EMU,341783171,2018
Europe & Central Asia,ECS,ECS,918793590,2018
Europe & Central Asia (excluding high income),ECA,ECA,417797257,2018
Europe & Central Asia (IDA & IBRD countries),TEC,TEC,459865205,2018
European Union,EUU,EUU,446786293,2018
Fragile and conflict affected situations,FCS,FCS,743958386,2018
Heavily indebted poor countries (HIPC),HPC,HPC,780234406,2018
High income,HIC,HIC,1210312147,2018
IBRD only,IBD,IBD,4772284113,2018
IDA & IBRD total,IBT,IBT,6412522234,2018
IDA blend,IDB,IDB,555830605,2018
IDA only,IDX,IDX,1084407516,2018
IDA total,IDA,IDA,1640238121,2018
Late-demographic dividend,LTE,LTE,2288665963,2018
Latin America & Caribbean,LCN,LCN,641357515,2018
Latin America & Caribbean (excluding high income),LAC,LAC,609013934,2018
Latin America & the Caribbean (IDA & IBRD countries),TLA,TLA,625569713,2018
Least developed countries: UN classification,LDC,LDC,1009662578,2018
Low & middle income,LMY,LMY,6383958209,2018
Low income,LIC,LIC,705417321,2018
Lower middle income,LMC,LMC,3022905169,2018
Middle East & North Africa,MEA,MEA,448912859,2018
Middle East & North Africa (excluding high income),MNA,MNA,382896715,2018
Middle East & North Africa (IDA & IBRD countries),TMN,TMN,378327628,2018
Middle income,MIC,MIC,5678540888,2018
North America,NAC,NAC,364290258,2018
OECD members,OED,OED,1303529456,2018
Other small states,OSS,OSS,30758989,2018
Pacific island small states,PSS,PSS,2457367,2018
Post-demographic dividend,PST,PST,1109997273,2018
Pre-demographic dividend,PRE,PRE,919485393,2018
Small states,SST,SST,40575321,2018
South Asia,SAS,SAS,1814388744,2018
South Asia (IDA & IBRD),TSA,TSA,1814388744,2018
Sub-Saharan Africa,SSF,SSF,1078306520,2018
Sub-Saharan Africa (excluding high income),SSA,SSA,1078209758,2018
Sub-Saharan Africa (IDA & IBRD countries),TSS,TSS,1078306520,2018
Upper middle income,UMC,UMC,2655635719,2018
