pais,iso3,anio,pib_per_capita
Africa Eastern and Southern,AFE,2022,1675.90252377611
Africa Western and Central,AFW,2022,2143.07209365676
Arab World,ARB,2022,7960.81158770821
Caribbean small states,CSS,2022,17449.5193422186
Central Europe and the Baltics,CEB,2022,19526.2463443821
Early-demographic dividend,EAR,2022,4017.48956260692
East Asia & Pacific,EAS,2022,13219.5863562213
East Asia & Pacific (excluding high income),EAP,2022,10107.0569545516
East Asia & Pacific (IDA & IBRD countries),TEA,2022,10220.556668162
Euro area,EMU,2022,41105.3462099324
Europe & Central Asia,ECS,2022,27968.286148204
Europe & Central Asia (excluding high income),ECA,2022,7264.37321853889
Europe & Central Asia (IDA & IBRD countries),TEC,2022,11422.1622613514
European Union,EUU,2022,38066.8240398192
Heavily indebted poor countries (HIPC),HPC,2022,1123.26894975331
High income,,2022,47056.4874992383
IBRD only,IBD,2022,7679.78639337735
IDA & IBRD total,IBT,2022,6024.32591287554
IDA blend,IDB,2022,2241.22931753571
IDA only,IDX,2022,1333.98547158611
IDA total,IDA,2022,1651.01916315494
Late-demographic dividend,LTE,2022,12287.4566066286
Latin America & Caribbean,LCN,2022,9412.05924553392
Latin America & Caribbean (excluding high income),LAC,2022,8838.67169511547
Latin America & the Caribbean (IDA & IBRD countries),TLA,2022,9177.79711881332
Least developed countries: UN classification,LDC,2022,1298.29338219278
Low & middle income,LMY,2022,5626.6962378216
Low income,,2022,778.915065676706
Lower middle income,,2022,2347.99329840156
"Middle East, North Africa, Afghanistan & Pakistan",MEA,2022,6436.74030312288
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,2022,3022.54814280134
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,2022,3017.03706401547
Middle income,MIC,2022,6209.92727259514
North America,NAC,2022,75769.6975468613
Not classified,,2022,
OECD members,OED,2022,44455.8357743973
Other small states,OSS,2022,14326.3081658507
Pacific island small states,PSS,2022,3941.90128416234
Post-demographic dividend,PST,2022,51597.0182783268
Pre-demographic dividend,PRE,2022,1769.1914721872
Small states,SST,2022,13644.5029834497
South Asia,SAS,2022,2326.72890585805
South Asia (IDA & IBRD),TSA,2022,2326.72890585805
Sub-Saharan Africa,SSF,2022,1864.70686111925
