pais,countryCode,fecha,nombre_local,nombre_en,tipo,global,fijo
Andorra,AD,2024-01-01,Any nou,New Year's Day,Public,True,False
Andorra,AD,2024-01-06,Reis,Epiphany,Public,True,False
Andorra,AD,2024-02-12,Carnaval,Carnival,Public,True,False
Andorra,AD,2024-03-14,Dia de la Constitució,Constitution Day,Public,True,False
Andorra,AD,2024-03-29,Divendres Sant,Good Friday,Public,True,False
Andorra,AD,2024-04-01,Dilluns de Pasqua,Easter Monday,Public,True,False
Andorra,AD,2024-05-01,Festa del Treball,Labour Day,Public,True,False
Andorra,AD,2024-05-20,Dilluns de Pentecosta,Whit Monday,Public,True,False
Andorra,AD,2024-08-15,Assumpció,Assumption Day,Public,True,False
Andorra,AD,2024-09-08,Mare de Déu de Meritxell,National Holiday,Public,True,False
Andorra,AD,2024-11-01,Tots Sants,All Saints' Day,Public,True,False
Andorra,AD,2024-12-08,Immaculada Concepció,Immaculate Conception,Public,True,False
Andorra,AD,2024-12-25,Nadal,Christmas Day,Public,True,False
Andorra,AD,2024-12-26,Sant Esteve,St. Stephen's Day,Public,True,False
Antigua and Barbuda,AG,2024-01-01,New Year's Day,New Year's Day,Public,True,False
Antigua and Barbuda,AG,2024-03-29,Good Friday,Good Friday,Public,True,False
Antigua and Barbuda,AG,2024-04-01,Easter Monday,Easter Monday,Public,True,False
Antigua and Barbuda,AG,2024-05-06,Labour Day,Labour Day,Public,True,False
Antigua and Barbuda,AG,2024-05-20,Whit Monday,Whit Monday,Public,True,False
Antigua and Barbuda,AG,2024-08-05,Carnival Monday,Carnival Monday,Public,True,False
Antigua and Barbuda,AG,2024-08-06,Carnival Tuesday,Carnival Tuesday,Public,True,False
Antigua and Barbuda,AG,2024-09-12,National Day of Prayer,National Day of Prayer,Public,True,False
Antigua and Barbuda,AG,2024-11-01,Independence Day,Independence Day,Public,True,False
Antigua and Barbuda,AG,2024-12-09,National Heroes' Day,National Heroes' Day,Public,True,False
Antigua and Barbuda,AG,2024-12-25,Christmas Day,Christmas Day,Public,True,False
Antigua and Barbuda,AG,2024-12-26,Boxing Day,St. Stephen's Day,Public,True,False
Anguilla,AI,2024-01-01,New Year's Day,New Year's Day,Public,True,False
Anguilla,AI,2024-03-04,James Ronald Webster Day,James Ronald Webster Day,Public,True,False
Anguilla,AI,2024-03-29,Good Friday,Good Friday,Public,True,False
